"Step","L1W256-3M-LLC-rr - llc/mean","L1W256-3M-LLC-rr - llc/mean__MIN","L1W256-3M-LLC-rr - llc/mean__MAX"
"0","108.19115447998047","108.19115447998047","108.19115447998047"
"100","113.07903289794922","113.07903289794922","113.07903289794922"
"200","117.55561828613281","117.55561828613281","117.55561828613281"
"300","118.21527099609375","118.21527099609375","118.21527099609375"
"400","118.5051040649414","118.5051040649414","118.5051040649414"
"500","117.94254302978516","117.94254302978516","117.94254302978516"
"600","117.53160858154297","117.53160858154297","117.53160858154297"
"700","116.9469223022461","116.9469223022461","116.9469223022461"
"800","116.19078826904297","116.19078826904297","116.19078826904297"
"900","115.81599426269531","115.81599426269531","115.81599426269531"
"1000","117.23866271972656","117.23866271972656","117.23866271972656"
"1100","118.7682113647461","118.7682113647461","118.7682113647461"
"1200","120.33308410644531","120.33308410644531","120.33308410644531"
"1300","121.06685638427734","121.06685638427734","121.06685638427734"
"1400","122.25978088378906","122.25978088378906","122.25978088378906"
"1500","123.1361312866211","123.1361312866211","123.1361312866211"
"1600","124.10710906982422","124.10710906982422","124.10710906982422"
"1700","124.61797332763672","124.61797332763672","124.61797332763672"
"1800","125.50537109375","125.50537109375","125.50537109375"
"1900","126.13917541503906","126.13917541503906","126.13917541503906"
"2000","126.5328140258789","126.5328140258789","126.5328140258789"
"2100","127.259033203125","127.259033203125","127.259033203125"
"2200","127.688720703125","127.688720703125","127.688720703125"
"2300","128.177978515625","128.177978515625","128.177978515625"
"2400","128.83645629882812","128.83645629882812","128.83645629882812"
"2500","129.35354614257812","129.35354614257812","129.35354614257812"
"2600","129.9507293701172","129.9507293701172","129.9507293701172"
"2700","130.29727172851562","130.29727172851562","130.29727172851562"
"2800","130.869140625","130.869140625","130.869140625"
"2900","131.4935760498047","131.4935760498047","131.4935760498047"
"3000","131.59034729003906","131.59034729003906","131.59034729003906"
"3100","132.011962890625","132.011962890625","132.011962890625"
"3200","132.63088989257812","132.63088989257812","132.63088989257812"
"3300","132.95909118652344","132.95909118652344","132.95909118652344"
"3400","133.43179321289062","133.43179321289062","133.43179321289062"
"3500","133.77931213378906","133.77931213378906","133.77931213378906"
