"Step","L1W256-3M-LLC-rr - llc/std","L1W256-3M-LLC-rr - llc/std__MIN","L1W256-3M-LLC-rr - llc/std__MAX"
"0","51.26860809326172","51.26860809326172","51.26860809326172"
"100","31.784292221069336","31.784292221069336","31.784292221069336"
"200","29.69352149963379","29.69352149963379","29.69352149963379"
"300","28.893539428710938","28.893539428710938","28.893539428710938"
"400","28.42900276184082","28.42900276184082","28.42900276184082"
"500","28.10258674621582","28.10258674621582","28.10258674621582"
"600","27.87627410888672","27.87627410888672","27.87627410888672"
"700","27.676605224609375","27.676605224609375","27.676605224609375"
"800","27.51085090637207","27.51085090637207","27.51085090637207"
"900","27.31631851196289","27.31631851196289","27.31631851196289"
"1000","27.01952362060547","27.01952362060547","27.01952362060547"
"1100","26.734580993652344","26.734580993652344","26.734580993652344"
"1200","26.485595703125","26.485595703125","26.485595703125"
"1300","26.282024383544922","26.282024383544922","26.282024383544922"
"1400","26.068878173828125","26.068878173828125","26.068878173828125"
"1500","25.86609649658203","25.86609649658203","25.86609649658203"
"1600","25.747440338134766","25.747440338134766","25.747440338134766"
"1700","25.551958084106445","25.551958084106445","25.551958084106445"
"1800","25.433082580566406","25.433082580566406","25.433082580566406"
"1900","25.317609786987305","25.317609786987305","25.317609786987305"
"2000","25.212337493896484","25.212337493896484","25.212337493896484"
"2100","25.100175857543945","25.100175857543945","25.100175857543945"
"2200","24.97553062438965","24.97553062438965","24.97553062438965"
"2300","24.91971778869629","24.91971778869629","24.91971778869629"
"2400","24.841039657592773","24.841039657592773","24.841039657592773"
"2500","24.75797462463379","24.75797462463379","24.75797462463379"
"2600","24.677021026611328","24.677021026611328","24.677021026611328"
"2700","24.62220001220703","24.62220001220703","24.62220001220703"
"2800","24.545448303222656","24.545448303222656","24.545448303222656"
"2900","24.48984146118164","24.48984146118164","24.48984146118164"
"3000","24.52366828918457","24.52366828918457","24.52366828918457"
"3100","24.42612648010254","24.42612648010254","24.42612648010254"
"3200","24.335342407226562","24.335342407226562","24.335342407226562"
"3300","24.335979461669922","24.335979461669922","24.335979461669922"
"3400","24.288270950317383","24.288270950317383","24.288270950317383"
"3500","24.232343673706055","24.232343673706055","24.232343673706055"
"3600","24.174774169921875","24.174774169921875","24.174774169921875"
"3700","24.177770614624023","24.177770614624023","24.177770614624023"
"3800","24.11524200439453","24.11524200439453","24.11524200439453"
"3900","24.093454360961914","24.093454360961914","24.093454360961914"
"4000","24.067758560180664","24.067758560180664","24.067758560180664"
"4100","24.03457260131836","24.03457260131836","24.03457260131836"
"4200","24.01728630065918","24.01728630065918","24.01728630065918"
"4300","23.948991775512695","23.948991775512695","23.948991775512695"
"4400","23.954143524169922","23.954143524169922","23.954143524169922"
"4500","23.90816307067871","23.90816307067871","23.90816307067871"
"4600","23.887060165405273","23.887060165405273","23.887060165405273"
"4700","23.853818893432617","23.853818893432617","23.853818893432617"
"4800","23.81466293334961","23.81466293334961","23.81466293334961"
"4900","23.796680450439453","23.796680450439453","23.796680450439453"
"5000","23.76985740661621","23.76985740661621","23.76985740661621"
"5100","23.750606536865234","23.750606536865234","23.750606536865234"
"5200","23.726545333862305","23.726545333862305","23.726545333862305"
"5300","23.67158317565918","23.67158317565918","23.67158317565918"
"5400","23.691192626953125","23.691192626953125","23.691192626953125"
"5500","23.642364501953125","23.642364501953125","23.642364501953125"
"5600","23.656841278076172","23.656841278076172","23.656841278076172"
"5700","23.614307403564453","23.614307403564453","23.614307403564453"
"5800","23.57970428466797","23.57970428466797","23.57970428466797"
"5900","23.585853576660156","23.585853576660156","23.585853576660156"
"6000","23.559999465942383","23.559999465942383","23.559999465942383"
"6100","23.52834129333496","23.52834129333496","23.52834129333496"
"6200","23.52086067199707","23.52086067199707","23.52086067199707"
"6300","23.50343894958496","23.50343894958496","23.50343894958496"
"6400","23.49420928955078","23.49420928955078","23.49420928955078"
"6500","23.46648406982422","23.46648406982422","23.46648406982422"
"6600","23.456581115722656","23.456581115722656","23.456581115722656"
"6700","23.458444595336914","23.458444595336914","23.458444595336914"
"6800","23.42029571533203","23.42029571533203","23.42029571533203"
"6900","23.423768997192383","23.423768997192383","23.423768997192383"
"7000","23.391399383544922","23.391399383544922","23.391399383544922"
"7100","23.365480422973633","23.365480422973633","23.365480422973633"
"7200","23.351726531982422","23.351726531982422","23.351726531982422"
"7300","23.356237411499023","23.356237411499023","23.356237411499023"
