"Step","L2W256-3m-rr-ICL - icl-loss","L2W256-3m-rr-ICL - icl-loss__MIN","L2W256-3m-rr-ICL - icl-loss__MAX"
"0","-0.12226396143362755","-0.12226396143362755","-0.12226396143362755"
"100","-0.06717089934755757","-0.06717089934755757","-0.06717089934755757"
"200","-0.07918338693116593","-0.07918338693116593","-0.07918338693116593"
"300","-0.07717875629773983","-0.07717875629773983","-0.07717875629773983"
"400","-0.06935399144482701","-0.06935399144482701","-0.06935399144482701"
"500","-0.06561879292406758","-0.06561879292406758","-0.06561879292406758"
"600","-0.06460984027282564","-0.06460984027282564","-0.06460984027282564"
"700","-0.0660846968663785","-0.0660846968663785","-0.0660846968663785"
"800","-0.0619884621817043","-0.0619884621817043","-0.0619884621817043"
"900","-0.058476773269096914","-0.058476773269096914","-0.058476773269096914"
"1000","-0.05662951672769742","-0.05662951672769742","-0.05662951672769742"
"1100","-0.06250768848343745","-0.06250768848343745","-0.06250768848343745"
"1200","-0.06870452464732016","-0.06870452464732016","-0.06870452464732016"
"1300","-0.04877171999739186","-0.04877171999739186","-0.04877171999739186"
"1400","-0.06651087169741524","-0.06651087169741524","-0.06651087169741524"
"1500","-0.06273042138928389","-0.06273042138928389","-0.06273042138928389"
"1600","-0.04290381232357143","-0.04290381232357143","-0.04290381232357143"
"1700","-0.04339990878134634","-0.04339990878134634","-0.04339990878134634"
"1800","-0.05006939003287788","-0.05006939003287788","-0.05006939003287788"
"1900","-0.07591464802420184","-0.07591464802420184","-0.07591464802420184"
"2000","-0.04132389049742219","-0.04132389049742219","-0.04132389049742219"
"2100","-0.02622915743602663","-0.02622915743602663","-0.02622915743602663"
"2200","-0.053354642447199306","-0.053354642447199306","-0.053354642447199306"
"2300","-0.05583557210245592","-0.05583557210245592","-0.05583557210245592"
"2400","-0.049346656970246906","-0.049346656970246906","-0.049346656970246906"
"2500","-0.05820207940633276","-0.05820207940633276","-0.05820207940633276"
"2600","-0.038984876333267346","-0.038984876333267346","-0.038984876333267346"
"2700","-0.05459444867665747","-0.05459444867665747","-0.05459444867665747"
"2800","-0.04041389290275621","-0.04041389290275621","-0.04041389290275621"
"2900","-0.02259499180891605","-0.02259499180891605","-0.02259499180891605"
"3000","-0.041764531353642824","-0.041764531353642824","-0.041764531353642824"
"3100","-0.05458273139076563","-0.05458273139076563","-0.05458273139076563"
"3200","-0.06137731564501749","-0.06137731564501749","-0.06137731564501749"
"3300","-0.029565443067232376","-0.029565443067232376","-0.029565443067232376"
"3400","-0.03670982509961971","-0.03670982509961971","-0.03670982509961971"
"3500","-0.07315337053777556","-0.07315337053777556","-0.07315337053777556"
"3600","-0.040495513690858895","-0.040495513690858895","-0.040495513690858895"
"3700","-0.04547842972358166","-0.04547842972358166","-0.04547842972358166"
"3800","-0.051229445689688215","-0.051229445689688215","-0.051229445689688215"
"3900","-0.026065244220832666","-0.026065244220832666","-0.026065244220832666"
"4000","-0.02194347885542069","-0.02194347885542069","-0.02194347885542069"
"4100","-0.05771554636277433","-0.05771554636277433","-0.05771554636277433"
"4200","-0.0542139669578656","-0.0542139669578656","-0.0542139669578656"
"4300","-0.046467615735840295","-0.046467615735840295","-0.046467615735840295"
"4400","-0.040940285023711664","-0.040940285023711664","-0.040940285023711664"
"4500","-0.038253999168999554","-0.038253999168999554","-0.038253999168999554"
"4600","-0.06213423893389802","-0.06213423893389802","-0.06213423893389802"
"4700","-0.03115750022223323","-0.03115750022223323","-0.03115750022223323"
"4800","-0.04743686226301346","-0.04743686226301346","-0.04743686226301346"
"4900","-0.042268142859337506","-0.042268142859337506","-0.042268142859337506"
"5000","-0.028974746596827937","-0.028974746596827937","-0.028974746596827937"
"5100","-0.030437650580341355","-0.030437650580341355","-0.030437650580341355"
"5200","-0.030660411483425146","-0.030660411483425146","-0.030660411483425146"
"5300","-0.046844996834272803","-0.046844996834272803","-0.046844996834272803"
"5400","-0.048027337555242855","-0.048027337555242855","-0.048027337555242855"
"5500","-0.04817050378608468","-0.04817050378608468","-0.04817050378608468"
"5600","-0.048266646299138204","-0.048266646299138204","-0.048266646299138204"
"5700","-0.07328650300081345","-0.07328650300081345","-0.07328650300081345"
"5800","-0.03240571564295973","-0.03240571564295973","-0.03240571564295973"
"5900","-0.03492063571260356","-0.03492063571260356","-0.03492063571260356"
"6000","-0.03781637228905639","-0.03781637228905639","-0.03781637228905639"
"6100","-0.052533524145449345","-0.052533524145449345","-0.052533524145449345"
"6200","-0.013329510783088222","-0.013329510783088222","-0.013329510783088222"
"6300","-0.035575806873543156","-0.035575806873543156","-0.035575806873543156"
"6400","-0.05218013962650181","-0.05218013962650181","-0.05218013962650181"
"6500","-0.048748221768731684","-0.048748221768731684","-0.048748221768731684"
"6600","-0.04127253133375359","-0.04127253133375359","-0.04127253133375359"
"6700","-0.04129690749683545","-0.04129690749683545","-0.04129690749683545"
"6800","-0.03899795561107923","-0.03899795561107923","-0.03899795561107923"
"6900","-0.04139030804887543","-0.04139030804887543","-0.04139030804887543"
"7000","-0.047585748476799396","-0.047585748476799396","-0.047585748476799396"
"7100","-0.04398358796524029","-0.04398358796524029","-0.04398358796524029"
"7200","-0.04575227173356102","-0.04575227173356102","-0.04575227173356102"
"7300","-0.04383040461758306","-0.04383040461758306","-0.04383040461758306"
"7400","-0.039453771559358086","-0.039453771559358086","-0.039453771559358086"
"7500","-0.02100478895515093","-0.02100478895515093","-0.02100478895515093"
"7600","-0.050814909457570986","-0.050814909457570986","-0.050814909457570986"
"7700","-0.023963103188277764","-0.023963103188277764","-0.023963103188277764"
"7800","-0.04541272448078811","-0.04541272448078811","-0.04541272448078811"
"7900","-0.021579447871232945","-0.021579447871232945","-0.021579447871232945"
"8000","-0.06685829530982358","-0.06685829530982358","-0.06685829530982358"
"8100","-0.05597891324235423","-0.05597891324235423","-0.05597891324235423"
"8200","-0.05102761036386007","-0.05102761036386007","-0.05102761036386007"
"8300","-0.062056148744778813","-0.062056148744778813","-0.062056148744778813"
"8400","-0.0678247385767688","-0.0678247385767688","-0.0678247385767688"
"8500","-0.06199560074045867","-0.06199560074045867","-0.06199560074045867"
"8600","-0.0609712790794514","-0.0609712790794514","-0.0609712790794514"
"8700","-0.06111863296023111","-0.06111863296023111","-0.06111863296023111"
"8800","-0.0765134891856586","-0.0765134891856586","-0.0765134891856586"
"8900","-0.08392889537976315","-0.08392889537976315","-0.08392889537976315"
"9000","-0.0848426728961789","-0.0848426728961789","-0.0848426728961789"
"9100","-0.08943072281897584","-0.08943072281897584","-0.08943072281897584"
"9200","-0.09472022952491185","-0.09472022952491185","-0.09472022952491185"
"9300","-0.10499575995691628","-0.10499575995691628","-0.10499575995691628"
"9400","-0.100638262715711","-0.100638262715711","-0.100638262715711"
"9500","-0.09729725807647328","-0.09729725807647328","-0.09729725807647328"
"9600","-0.08861906080517103","-0.08861906080517103","-0.08861906080517103"
"9700","-0.10214778092057802","-0.10214778092057802","-0.10214778092057802"
"9800","-0.10049872433741396","-0.10049872433741396","-0.10049872433741396"
"9900","-0.07853903427112235","-0.07853903427112235","-0.07853903427112235"
"10000","-0.10667541707844021","-0.10667541707844021","-0.10667541707844021"
"10100","-0.11512644550266903","-0.11512644550266903","-0.11512644550266903"
"10200","-0.09405638673544225","-0.09405638673544225","-0.09405638673544225"
"10300","-0.11384200784567702","-0.11384200784567702","-0.11384200784567702"
"10400","-0.10511574565406488","-0.10511574565406488","-0.10511574565406488"
"10500","-0.10388467058410455","-0.10388467058410455","-0.10388467058410455"
"10600","-0.1139881767065475","-0.1139881767065475","-0.1139881767065475"
"10700","-0.10687824969533348","-0.10687824969533348","-0.10687824969533348"
"10800","-0.12424570800936856","-0.12424570800936856","-0.12424570800936856"
"10900","-0.12260692626495738","-0.12260692626495738","-0.12260692626495738"
"11000","-0.13039974037590074","-0.13039974037590074","-0.13039974037590074"
"11100","-0.13326746409549406","-0.13326746409549406","-0.13326746409549406"
"11200","-0.08916738448832622","-0.08916738448832622","-0.08916738448832622"
"11300","-0.12269031146842853","-0.12269031146842853","-0.12269031146842853"
"11400","-0.13549522239581321","-0.13549522239581321","-0.13549522239581321"
"11500","-0.14784773016447483","-0.14784773016447483","-0.14784773016447483"
"11600","-0.1293953999011272","-0.1293953999011272","-0.1293953999011272"
"11700","-0.12825816479247934","-0.12825816479247934","-0.12825816479247934"
"11800","-0.13349113476143779","-0.13349113476143779","-0.13349113476143779"
"11900","-0.1535135899544941","-0.1535135899544941","-0.1535135899544941"
"12000","-0.12539881033125266","-0.12539881033125266","-0.12539881033125266"
"12100","-0.1422405779288048","-0.1422405779288048","-0.1422405779288048"
"12200","-0.14255542255597298","-0.14255542255597298","-0.14255542255597298"
"12300","-0.15102867761854777","-0.15102867761854777","-0.15102867761854777"
"12400","-0.15832662346631252","-0.15832662346631252","-0.15832662346631252"
"12500","-0.16082288742949552","-0.16082288742949552","-0.16082288742949552"
"12600","-0.14978773816406948","-0.14978773816406948","-0.14978773816406948"
"12700","-0.1654959000527343","-0.1654959000527343","-0.1654959000527343"
"12800","-0.1536988039099242","-0.1536988039099242","-0.1536988039099242"
"12900","-0.14247194415117223","-0.14247194415117223","-0.14247194415117223"
