"Step","L2W256-3M-LLC-rr - llc/std","L2W256-3M-LLC-rr - llc/std__MIN","L2W256-3M-LLC-rr - llc/std__MAX"
"0","50.64811706542969","50.64811706542969","50.64811706542969"
"100","32.96671676635742","32.96671676635742","32.96671676635742"
"200","30.67964744567871","30.67964744567871","30.67964744567871"
"300","29.764781951904297","29.764781951904297","29.764781951904297"
"400","29.25054931640625","29.25054931640625","29.25054931640625"
"500","28.8785343170166","28.8785343170166","28.8785343170166"
"600","28.5355167388916","28.5355167388916","28.5355167388916"
"700","28.289182662963867","28.289182662963867","28.289182662963867"
"800","28.06230354309082","28.06230354309082","28.06230354309082"
"900","27.8620548248291","27.8620548248291","27.8620548248291"
"1000","27.66961097717285","27.66961097717285","27.66961097717285"
"1100","27.503049850463867","27.503049850463867","27.503049850463867"
"1200","27.24589729309082","27.24589729309082","27.24589729309082"
"1300","27.16646957397461","27.16646957397461","27.16646957397461"
"1400","26.748184204101562","26.748184204101562","26.748184204101562"
"1500","26.726598739624023","26.726598739624023","26.726598739624023"
"1600","26.441179275512695","26.441179275512695","26.441179275512695"
"1700","26.17576789855957","26.17576789855957","26.17576789855957"
"1800","25.922273635864258","25.922273635864258","25.922273635864258"
"1900","25.778873443603516","25.778873443603516","25.778873443603516"
"2000","25.64951515197754","25.64951515197754","25.64951515197754"
"2100","25.439970016479492","25.439970016479492","25.439970016479492"
"2200","25.282609939575195","25.282609939575195","25.282609939575195"
"2300","25.20685386657715","25.20685386657715","25.20685386657715"
"2400","25.108007431030273","25.108007431030273","25.108007431030273"
"2500","24.943498611450195","24.943498611450195","24.943498611450195"
"2600","24.891843795776367","24.891843795776367","24.891843795776367"
"2700","24.80910301208496","24.80910301208496","24.80910301208496"
"2800","24.676734924316406","24.676734924316406","24.676734924316406"
"2900","24.62232780456543","24.62232780456543","24.62232780456543"
"3000","24.50843620300293","24.50843620300293","24.50843620300293"
"3100","24.483306884765625","24.483306884765625","24.483306884765625"
"3200","24.44026756286621","24.44026756286621","24.44026756286621"
"3300","24.376171112060547","24.376171112060547","24.376171112060547"
"3400","24.316293716430664","24.316293716430664","24.316293716430664"
"3500","24.27948760986328","24.27948760986328","24.27948760986328"
"3600","24.240373611450195","24.240373611450195","24.240373611450195"
"3700","24.193571090698242","24.193571090698242","24.193571090698242"
"3800","24.14280891418457","24.14280891418457","24.14280891418457"
"3900","24.108625411987305","24.108625411987305","24.108625411987305"
"4000","24.079364776611328","24.079364776611328","24.079364776611328"
"4100","23.981327056884766","23.981327056884766","23.981327056884766"
"4200","23.984739303588867","23.984739303588867","23.984739303588867"
"4300","23.886436462402344","23.886436462402344","23.886436462402344"
"4400","23.91895866394043","23.91895866394043","23.91895866394043"
"4500","23.865373611450195","23.865373611450195","23.865373611450195"
"4600","23.794294357299805","23.794294357299805","23.794294357299805"
"4700","23.9659481048584","23.9659481048584","23.9659481048584"
"4800","23.83744239807129","23.83744239807129","23.83744239807129"
"4900","23.871257781982422","23.871257781982422","23.871257781982422"
"5000","23.840774536132812","23.840774536132812","23.840774536132812"
"5100","23.83869171142578","23.83869171142578","23.83869171142578"
"5200","23.778043746948242","23.778043746948242","23.778043746948242"
"5300","23.784345626831055","23.784345626831055","23.784345626831055"
"5400","23.783458709716797","23.783458709716797","23.783458709716797"
"5500","23.762590408325195","23.762590408325195","23.762590408325195"
"5600","23.686445236206055","23.686445236206055","23.686445236206055"
"5700","23.720361709594727","23.720361709594727","23.720361709594727"
"5800","23.65878677368164","23.65878677368164","23.65878677368164"
"5900","23.604534149169922","23.604534149169922","23.604534149169922"
"6000","23.568227767944336","23.568227767944336","23.568227767944336"
"6100","23.554861068725586","23.554861068725586","23.554861068725586"
"6200","23.476768493652344","23.476768493652344","23.476768493652344"
"6300","23.4738712310791","23.4738712310791","23.4738712310791"
"6400","23.44416618347168","23.44416618347168","23.44416618347168"
"6500","23.376768112182617","23.376768112182617","23.376768112182617"
"6600","23.34585189819336","23.34585189819336","23.34585189819336"
"6700","23.24773597717285","23.24773597717285","23.24773597717285"
"6800","23.29173469543457","23.29173469543457","23.29173469543457"
"6900","23.373123168945312","23.373123168945312","23.373123168945312"
"7000","23.39827537536621","23.39827537536621","23.39827537536621"
"7100","23.399290084838867","23.399290084838867","23.399290084838867"
"7200","23.330394744873047","23.330394744873047","23.330394744873047"
"7300","23.31774139404297","23.31774139404297","23.31774139404297"
"7400","23.102937698364258","23.102937698364258","23.102937698364258"
