"Step","L2W256-3M-LLC-rr - llc/mean","L2W256-3M-LLC-rr - llc/mean__MIN","L2W256-3M-LLC-rr - llc/mean__MAX"
"0","123.55998992919922","123.55998992919922","123.55998992919922"
"100","137.33119201660156","137.33119201660156","137.33119201660156"
"200","143.6405029296875","143.6405029296875","143.6405029296875"
"300","146.99789428710938","146.99789428710938","146.99789428710938"
"400","148.2887420654297","148.2887420654297","148.2887420654297"
"500","148.93423461914062","148.93423461914062","148.93423461914062"
"600","149.4635009765625","149.4635009765625","149.4635009765625"
"700","149.6052703857422","149.6052703857422","149.6052703857422"
"800","149.91006469726562","149.91006469726562","149.91006469726562"
"900","149.88572692871094","149.88572692871094","149.88572692871094"
"1000","150.138916015625","150.138916015625","150.138916015625"
"1100","150.22225952148438","150.22225952148438","150.22225952148438"
"1200","150.80960083007812","150.80960083007812","150.80960083007812"
"1300","151.06700134277344","151.06700134277344","151.06700134277344"
"1400","151.89027404785156","151.89027404785156","151.89027404785156"
"1500","152.35362243652344","152.35362243652344","152.35362243652344"
"1600","153.09825134277344","153.09825134277344","153.09825134277344"
"1700","153.97589111328125","153.97589111328125","153.97589111328125"
"1800","155.11505126953125","155.11505126953125","155.11505126953125"
"1900","155.873779296875","155.873779296875","155.873779296875"
"2000","156.73179626464844","156.73179626464844","156.73179626464844"
"2100","157.82371520996094","157.82371520996094","157.82371520996094"
"2200","158.69760131835938","158.69760131835938","158.69760131835938"
"2300","159.39430236816406","159.39430236816406","159.39430236816406"
"2400","160.10479736328125","160.10479736328125","160.10479736328125"
"2500","161.00425720214844","161.00425720214844","161.00425720214844"
"2600","161.75975036621094","161.75975036621094","161.75975036621094"
"2700","162.40591430664062","162.40591430664062","162.40591430664062"
"2800","163.22703552246094","163.22703552246094","163.22703552246094"
"2900","163.76220703125","163.76220703125","163.76220703125"
"3000","164.5001678466797","164.5001678466797","164.5001678466797"
"3100","164.90972900390625","164.90972900390625","164.90972900390625"
"3200","165.48049926757812","165.48049926757812","165.48049926757812"
"3300","166.11766052246094","166.11766052246094","166.11766052246094"
"3400","166.6311492919922","166.6311492919922","166.6311492919922"
"3500","166.94871520996094","166.94871520996094","166.94871520996094"
"3600","167.35159301757812","167.35159301757812","167.35159301757812"
"3700","167.83694458007812","167.83694458007812","167.83694458007812"
"3800","168.31297302246094","168.31297302246094","168.31297302246094"
"3900","168.7188262939453","168.7188262939453","168.7188262939453"
"4000","169.08412170410156","169.08412170410156","169.08412170410156"
"4100","169.4582977294922","169.4582977294922","169.4582977294922"
"4200","169.7445526123047","169.7445526123047","169.7445526123047"
"4300","170.16949462890625","170.16949462890625","170.16949462890625"
"4400","170.3315887451172","170.3315887451172","170.3315887451172"
"4500","170.6529998779297","170.6529998779297","170.6529998779297"
"4600","170.9615020751953","170.9615020751953","170.9615020751953"
"4700","170.4217987060547","170.4217987060547","170.4217987060547"
"4800","170.9373321533203","170.9373321533203","170.9373321533203"
"4900","171.0775604248047","171.0775604248047","171.0775604248047"
"5000","171.26541137695312","171.26541137695312","171.26541137695312"
"5100","171.37892150878906","171.37892150878906","171.37892150878906"
"5200","171.64505004882812","171.64505004882812","171.64505004882812"
"5300","171.80307006835938","171.80307006835938","171.80307006835938"
"5400","171.82321166992188","171.82321166992188","171.82321166992188"
"5500","171.95535278320312","171.95535278320312","171.95535278320312"
"5600","171.96632385253906","171.96632385253906","171.96632385253906"
"5700","172.05650329589844","172.05650329589844","172.05650329589844"
"5800","172.1688690185547","172.1688690185547","172.1688690185547"
"5900","172.25164794921875","172.25164794921875","172.25164794921875"
"6000","172.3434600830078","172.3434600830078","172.3434600830078"
"6100","172.32200622558594","172.32200622558594","172.32200622558594"
"6200","172.26641845703125","172.26641845703125","172.26641845703125"
"6300","172.3951873779297","172.3951873779297","172.3951873779297"
"6400","172.4196014404297","172.4196014404297","172.4196014404297"
"6500","172.43359375","172.43359375","172.43359375"
"6600","172.39486694335938","172.39486694335938","172.39486694335938"
"6700","172.5139923095703","172.5139923095703","172.5139923095703"
"6800","172.2695770263672","172.2695770263672","172.2695770263672"
"6900","172.23272705078125","172.23272705078125","172.23272705078125"
"7000","172.16555786132812","172.16555786132812","172.16555786132812"
"7100","171.9506378173828","171.9506378173828","171.9506378173828"
"7200","171.9746551513672","171.9746551513672","171.9746551513672"
"7300","171.9899444580078","171.9899444580078","171.9899444580078"
"7400","172.01268005371094","172.01268005371094","172.01268005371094"
"7500","171.728271484375","171.728271484375","171.728271484375"
"7600","171.7350616455078","171.7350616455078","171.7350616455078"
"7700","171.8929443359375","171.8929443359375","171.8929443359375"
"7800","171.6959991455078","171.6959991455078","171.6959991455078"
"7900","171.61837768554688","171.61837768554688","171.61837768554688"
"8000","171.22080993652344","171.22080993652344","171.22080993652344"
"8100","171.03099060058594","171.03099060058594","171.03099060058594"
"8200","170.76658630371094","170.76658630371094","170.76658630371094"
"8300","170.80137634277344","170.80137634277344","170.80137634277344"
"8400","170.8134307861328","170.8134307861328","170.8134307861328"
"8500","170.864501953125","170.864501953125","170.864501953125"
"8600","170.686279296875","170.686279296875","170.686279296875"
"8700","170.6123504638672","170.6123504638672","170.6123504638672"
"8800","170.8558807373047","170.8558807373047","170.8558807373047"
"8900","170.82395935058594","170.82395935058594","170.82395935058594"
"9000","170.8606719970703","170.8606719970703","170.8606719970703"
"9100","171.00352478027344","171.00352478027344","171.00352478027344"
"9200","170.9917755126953","170.9917755126953","170.9917755126953"
"9300","170.83738708496094","170.83738708496094","170.83738708496094"
"9400","171.2861785888672","171.2861785888672","171.2861785888672"
"9500","171.25131225585938","171.25131225585938","171.25131225585938"
"9600","171.1471405029297","171.1471405029297","171.1471405029297"
"9700","171.38829040527344","171.38829040527344","171.38829040527344"
"9800","171.78778076171875","171.78778076171875","171.78778076171875"
"9900","171.56651306152344","171.56651306152344","171.56651306152344"
"10000","171.6660919189453","171.6660919189453","171.6660919189453"
"10100","171.9403533935547","171.9403533935547","171.9403533935547"
"10200","171.86705017089844","171.86705017089844","171.86705017089844"
"10300","172.12144470214844","172.12144470214844","172.12144470214844"
"10400","172.2499237060547","172.2499237060547","172.2499237060547"
"10500","172.34112548828125","172.34112548828125","172.34112548828125"
"10600","172.15101623535156","172.15101623535156","172.15101623535156"
"10700","172.92251586914062","172.92251586914062","172.92251586914062"
"10800","173.15493774414062","173.15493774414062","173.15493774414062"
"10900","172.70201110839844","172.70201110839844","172.70201110839844"
"11000","173.0278778076172","173.0278778076172","173.0278778076172"
"11100","173.3093719482422","173.3093719482422","173.3093719482422"
"11200","173.44534301757812","173.44534301757812","173.44534301757812"
"11300","173.73472595214844","173.73472595214844","173.73472595214844"
"11400","173.73086547851562","173.73086547851562","173.73086547851562"
"11500","173.9261016845703","173.9261016845703","173.9261016845703"
"11600","174.1355438232422","174.1355438232422","174.1355438232422"
"11700","174.4876251220703","174.4876251220703","174.4876251220703"
"11800","174.46380615234375","174.46380615234375","174.46380615234375"
"11900","174.6216583251953","174.6216583251953","174.6216583251953"
"12000","174.935791015625","174.935791015625","174.935791015625"
"12100","174.92552185058594","174.92552185058594","174.92552185058594"
"12200","175.0765380859375","175.0765380859375","175.0765380859375"
"12300","175.39111328125","175.39111328125","175.39111328125"
"12400","175.6823272705078","175.6823272705078","175.6823272705078"
"12500","175.6747283935547","175.6747283935547","175.6747283935547"
"12600","176.16696166992188","176.16696166992188","176.16696166992188"
"12700","176.333740234375","176.333740234375","176.333740234375"
"12800","176.47491455078125","176.47491455078125","176.47491455078125"
"12900","176.74795532226562","176.74795532226562","176.74795532226562"
